REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,CUM_SHARE,ABC_CLASS,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,XYZ_CLASS,ABC_XYZ
WT2Q0121321,TAPA RESERVORIO,519,0.37935498129351036,A,8.371,10.7317,1.282,Z,AZ
KR96395500,ELECTROVENTILADOR,519,0.380379102404218,A,8.371,12.6213,1.5077,Z,AZ
PR8253279850,SENSOR OXIGENO,518,0.3814012502565236,A,8.3548,10.6439,1.274,Z,AZ
FL30E2530M,MODULO GASOLINA SUMERGIBLE,518,0.38242339810882914,A,8.3548,15.9435,1.9083,Z,AZ
FL47608007,BOMBA GASOLINA,516,0.3834415994443304,A,8.3226,8.8459,1.0629,Z,AZ
8-971478609-0,FILTRO AIRE,516,0.3844598007798317,A,8.3226,11.9161,1.4318,Z,AZ
FIN17040-JR50A,FILTRO INTANK,515,0.3854760288569309,A,8.3065,14.858,1.7887,Z,AZ
90799322,FILTRO AIRE,515,0.38649225693403,A,8.3065,6.1529,0.7407,Y,AY
WT3B0121321,TAPA RESERVORIO,515,0.38750848501112917,A,8.3065,6.7814,0.8164,Y,AY
1J0823593C,VARILLA CAPOT GOLF IV,515,0.38852471308822834,A,8.3065,11.132,1.3402,Z,AZ
EP20-1251,JUEGO DE CORREAS DENTADAS,514,0.3895389679069253,A,8.2903,12.9246,1.559,Z,AZ
6Q0711303,PALANCA FRENO MANO POLOBR,511,0.39054730295041595,A,8.2419,13.4365,1.6303,Z,AZ
FL04578815AE,MODULO GASOLINA SUMERGIBLE,510,0.39155366473550446,A,8.2258,8.7149,1.0595,Z,AZ
KR96536522,ELECTROVENTILADOR,510,0.3925600265205929,A,8.2258,8.8106,1.0711,Z,AZ
FL17040-8M21B,MODULO GASOLINA SUMERGIBLE,510,0.3935663883056814,A,8.2258,21.6924,2.6371,Z,AZ
SP-1222,JGO. PASTILLA DE FRENO,506,0.3945648570571613,A,8.1613,16.1427,1.978,Z,AZ
EP20-1926,JUEGO DE CORREAS DENTADAS,505,0.39556135255023916,A,8.1452,11.5085,1.4129,Z,AZ
KR27501-02H00,JUEGO CABLES DE BUJIA,505,0.39655784804331695,A,8.1452,6.6183,0.8125,Y,AY
DBF-028N,MANGUERA BOMBA GASOLINA SUMERGIBLE,504,0.3975523702779926,A,8.129,10.7636,1.3241,Z,AZ
377199339,COJIN AMORTIG VIBRACION MOTOR GOL,500,0.3985389994790598,A,8.0645,10.6814,1.3245,Z,AZ
