REFERENCIA,DESCRIPCIÓN,N_PERIODS,NON_ZERO_PERIODS,PCT_NON_ZERO,ADI,CV2,DEMAND_TYPE
1K0721261R,CILINDRO RECEPTOR EMBRAGUE JETTA 25,62,23,0.371,2.6957,4.8872,Lumpy
1K4959857B,CONMUTADOR VENTANAS AMAROK Y BORA,62,16,0.2581,3.875,5.9592,Lumpy
1K5955651,BOMBA LAVAPARABRISAS BORA,62,11,0.1774,5.6364,8.9641,Lumpy
1N0271289-411,FARO NEBLINERO LH,62,8,0.129,7.75,10.7041,Lumpy
1N0271295-421,FARO NEBLINERO RH,62,15,0.2419,4.1333,4.4706,Lumpy
1ND012755-111,FARO NEBLINERO LH,62,28,0.4516,2.2143,1.5603,Lumpy
1ND012755-121,FARO NEBLINERO RH,62,24,0.3871,2.5833,2.5484,Lumpy
1WA013Z40,FILTRO AIRE,62,14,0.2258,4.4286,8.4488,Lumpy
23304-EV290,FILTRO DE GASOLINA HINO,62,37,0.5968,1.6757,0.8458,Lumpy
23390-0L010,FILTRO DE GASOLINA DMAX TOYOTA VIGO,62,15,0.2419,4.1333,3.5052,Lumpy
28113-08000,FILTRO AIRE,62,28,0.4516,2.2143,3.6086,Lumpy
28113-1G000,FILTRO AIRE,62,20,0.3226,3.1,3.7957,Lumpy
28113-1R100,FILTRO AIRE,62,33,0.5323,1.8788,1.4273,Lumpy
28113-2S000,FILTRO AIRE,62,30,0.4839,2.0667,2.5845,Lumpy
28113-4H000,FILTRO AIRE,62,31,0.5,2.0,1.2734,Lumpy
28113-A0100,FILTRO AIRE,62,28,0.4516,2.2143,1.8846,Lumpy
28113-D3300,FILTRO AIRE,62,27,0.4355,2.2963,2.6806,Lumpy
28113-G2100,FILTRO AIRE,62,10,0.1613,6.2,6.686,Lumpy
28113-G6000,FILTRO AIRE,62,6,0.0968,10.3333,17.129,Lumpy
28113-H9100,FILTRO AIRE,62,29,0.4677,2.1379,1.3324,Lumpy
305407175.2,PLACA FIJACION ROTULA GOL,62,14,0.2258,4.4286,3.8437,Lumpy
305419809A,BUJE B D GOL,62,19,0.3065,3.2632,2.8346,Lumpy
305419831.1,GUARDAPOLVO DE LA DIRECCION GOL,62,21,0.3387,2.9524,2.7145,Lumpy
305711025.1,KIT BASE PALANCA CAMBIOS GOL,62,20,0.3226,3.1,2.6121,Lumpy
305721338A,GRAPA SEGURIDAD EMBRAGUE GOL,62,23,0.371,2.6957,2.3624,Lumpy
307411309.6,BARRA ESTABILIZADORA GOL,62,18,0.2903,3.4444,3.5902,Lumpy
307419812.1,TERMINAL DIRECCION H GOL DRIVEWAY,62,22,0.3548,2.8182,2.1159,Lumpy
321611939E,MANGUERA DE VACIO G V 1 8,62,29,0.4677,2.1379,1.5984,Lumpy
325422375.1,TAPA DEPOSITO HIDRAULICO,62,14,0.2258,4.4286,9.257,Lumpy
325907411.1,RELAY DE POTENCIA GOL 97,62,19,0.3065,3.2632,3.8696,Lumpy
327823397.1,PRESILLA VARILLA APOYO CAPOT GOL,62,28,0.4516,2.2143,1.5363,Lumpy
34810-65J00,SENSOR NIVEL GASOLINA,62,41,0.6613,1.5122,0.7145,Lumpy
373868404A,MANIJA INT DER CROMADA GOL 98 PLASTICA,62,26,0.4194,2.3846,1.6635,Lumpy
377399541A,SOPORTE BASE C C GOL,62,3,0.0484,20.6667,34.7197,Lumpy
377407365B,ROTULA M S D H P G IZQ GOL 98,62,11,0.1774,5.6364,8.7742,Lumpy
377711141A,MANOPLA P C GOL,62,22,0.3548,2.8182,2.6829,Lumpy
377819371B,MANGUERA CALEFACCION ALIM CON FALLA GOL,62,19,0.3065,3.2632,3.4627,Lumpy
3B0837187B,BOTON PUERTA GOLF IV,62,23,0.371,2.6957,4.2278,Lumpy
3BD853601,EMBLEMA DELANTERO PASSAT 98 GOL V,62,39,0.629,1.5897,0.746,Lumpy
3G0598611A,CUBO RUEDA POST TIGUAN,62,16,0.2581,3.875,3.9289,Lumpy
4RP008189-151,RELAY BOMBA COMBUSTIBLE,62,23,0.371,2.6957,3.952,Lumpy
4RV008188-461,RELAY PRECALIENTAMIENTO,62,28,0.4516,2.2143,2.5931,Lumpy
5-87310455-0,FILTRO AIRE,62,22,0.3548,2.8182,3.0339,Lumpy
5DA006623-951,BOBINA ENCENDIDO,62,14,0.2258,4.4286,6.1613,Lumpy
5DA193175-381,BOBINA ENCENDIDO,62,26,0.4194,2.3846,2.4999,Lumpy
5DA193175-441,BOBINA ENCENDIDO,62,19,0.3065,3.2632,3.154,Lumpy
5DA193175-481,BOBINA ENCENDIDO,62,33,0.5323,1.8788,3.3268,Lumpy
5DA193175-501,BOBINA ENCENDIDO,62,28,0.4516,2.2143,1.48,Lumpy
5DA193175-731,BOBINA ENCENDIDO,62,38,0.6129,1.6316,2.2582,Lumpy
5DA193175-951,BOMBA DE ENCENDIDO,62,27,0.4355,2.2963,2.3789,Lumpy
5DA193175-971,BOMBA ENCENDIDO,62,9,0.1452,6.8889,7.5682,Lumpy
5DA230036-181,BOBINA ENCENDIDO,62,18,0.2903,3.4444,10.5002,Lumpy
5DA358000-171,BOBINA ENCENDIDO,62,17,0.2742,3.6471,8.0258,Lumpy
5DA358000-651,BOBINA ENCENDIDO,62,28,0.4516,2.2143,1.5929,Lumpy
5DA358057-031,BOBINA ENCENDIDO,62,20,0.3226,3.1,5.2906,Lumpy
5DA358057-471,BOBINA ENCENDIDO,62,34,0.5484,1.8235,1.1351,Lumpy
5DA358057-891,BOBINA ENCENDIDO,62,22,0.3548,2.8182,1.9957,Lumpy
5DA358168-431,BOBINA ENCENDIDO,62,26,0.4194,2.3846,3.311,Lumpy
5K0498621,CUBO RUEDA DEL GOLF IV 18 BORA,62,2,0.0323,31.0,30.0,Lumpy
5U0501117,PUNTA EJE POSTERIOR,62,18,0.2903,3.4444,3.1822,Lumpy
5X0121293A,DEFLECTOR SUPERIOR,62,26,0.4194,2.3846,4.3169,Lumpy
5X0412319,PLATO SUPERIOR AMORTIG DEL GOL,62,30,0.4839,2.0667,2.7496,Lumpy
5X0711303B,PALANCA FRENO MANO GOL,62,38,0.6129,1.6316,0.7646,Lumpy
5X0857551,PARASOL GOL IZQ PROMOCION,62,38,0.6129,1.6316,0.8208,Lumpy
5X0857552,PARASOL GOL DER PROMOCION,62,23,0.371,2.6957,1.9157,Lumpy
69826-2,MASCARILLA REJILLA VENTILACION GOL III NEGRA,62,10,0.1613,6.2,16.023,Lumpy
6PA358066-401,SENSOR OXIGENO,62,36,0.5806,1.7222,1.0139,Lumpy
6PU009106-071,SENSOR ABS DELANTERO RH,62,2,0.0323,31.0,37.75,Lumpy
6PU009106-091,SENSOR ABS DELANTERO LH,62,25,0.4032,2.48,1.8215,Lumpy
6PU009121-451,SENSOR POSICION ARBOL LEVAS,62,16,0.2581,3.875,3.5876,Lumpy
6PU009163-491,SENSOR POSICION CIGUENAL,62,29,0.4677,2.1379,1.8753,Lumpy
6PU010039-991,SENSOR ABS LH,62,27,0.4355,2.2963,1.5391,Lumpy
6PU012039-001,SENSOR ABS RH,62,29,0.4677,2.1379,1.4503,Lumpy
6PU012681-021,SENSOR HALL,62,26,0.4194,2.3846,2.5626,Lumpy
6PU013122-671,SENSOR POSICION ARBOL LEVAS,62,22,0.3548,2.8182,2.4066,Lumpy
6PV008496-701,PEDAL ACELERADOR,62,10,0.1613,6.2,10.6689,Lumpy
6Q0407183,BUJE MESA GRANDE POLO,62,21,0.3387,2.9524,2.9938,Lumpy
6Q0711303,PALANCA FRENO MANO POLOBR,62,30,0.4839,2.0667,2.6577,Lumpy
6ZF003272-011,TROMPO RETRO,62,7,0.1129,8.8571,9.7603,Lumpy
6ZF008621-421,TROMPO RETRO,62,13,0.2097,4.7692,7.3306,Lumpy
7C3Z9601A,FILTRO AIRE,62,29,0.4677,2.1379,1.4723,Lumpy
8-97035303-0,FILTRO AIRE,62,27,0.4355,2.2963,3.4139,Lumpy
8-97062294-0,FILTRO AIRE,62,21,0.3387,2.9524,2.7501,Lumpy
8-971478609-0,FILTRO AIRE,62,24,0.3871,2.5833,2.05,Lumpy
8-97251943-0,FILTRO AIRE,62,13,0.2097,4.7692,4.7536,Lumpy
8-97356127-0,"FILTRO AIRE CABINA D-MAX 2.5L, 3.0L (2010/2018)  WINGLE 2.8L (2010/2012) WINGLE 5 2.4L, 2.8L (2012/2018)",62,17,0.2742,3.6471,3.6222,Lumpy
8-98071423-0,FILTRO AIRE,62,32,0.5161,1.9375,1.9857,Lumpy
8-98071424-0,FILTRO AIRE,62,42,0.6774,1.4762,0.669,Lumpy
8-98140266-0,FILTRO AIRE,62,37,0.5968,1.6757,1.4951,Lumpy
811407181A,BUJE M S GOL,62,12,0.1935,5.1667,5.6505,Lumpy
811711803A,VARILLA MARCHA CAMBIOS GOL 3257118031,62,8,0.129,7.75,12.7931,Lumpy
823253147A,CAUCHO SILENCIADOR ESCAPE,62,2,0.0323,31.0,30.0,Lumpy
8DB355008-591,JGO. PASTILLA DE FRENO,62,9,0.1452,6.8889,7.5422,Lumpy
8DB355018-111,JGO. PASTILLA DE FRENO,62,28,0.4516,2.2143,3.7903,Lumpy
8DD355104-211,DISCO FRENO DEL.,62,29,0.4677,2.1379,1.5613,Lumpy
8DD355105-411,DISCO FRENO POST.,62,28,0.4516,2.2143,1.5393,Lumpy
8DD355111-341,DISCO FRENO DEL.,62,15,0.2419,4.1333,3.9953,Lumpy
8DD355117-151,DISCO FRENO DEL.,62,35,0.5645,1.7714,1.0019,Lumpy
8DD355134-251,DISCO FRENO DEL.,62,23,0.371,2.6957,2.8911,Lumpy
8EA011612-641,MOTOR ARRANQUE,62,36,0.5806,1.7222,2.3232,Lumpy
8EA012527-401,MOTOR ARRANQUE,62,34,0.5484,1.8235,1.7319,Lumpy
8EL012430-951,ALTERNADOR,62,30,0.4839,2.0667,1.2975,Lumpy
8TF358106-101,MODULO GASOLINA SUMERGIBLE,62,39,0.629,1.5897,0.8281,Lumpy
8TF358146-621,BOMBA GASOLINA SUMERGIBLE,62,17,0.2742,3.6471,7.0277,Lumpy
8TF358303631,BOMBA GASOLINA SUMERGIBLE,62,10,0.1613,6.2,10.5574,Lumpy
95861-64J10,FILTRO AIRE GRAN VITARA SZ CAB,62,18,0.2903,3.4444,4.2366,Lumpy
97133-F2000,FILTRO AIRE CABINA KIA RIO 2018,62,28,0.4516,2.2143,2.6989,Lumpy
97133-G6000,FILTRO AIRE CABINA KIA PICANTO,62,29,0.4677,2.1379,2.2206,Lumpy
97617-4H000,FILTRO AIRE HYUNDAI H1 TQ NUEVA CAB,62,25,0.4032,2.48,1.7666,Lumpy
A12-1109111,FILTRO AIRE,62,34,0.5484,1.8235,2.4917,Lumpy
A15251,FILTRO AIRE,62,43,0.6935,1.4419,0.6112,Lumpy
ALHP-0066,BUJE GUIA ARBOL PRINC C C G V,62,17,0.2742,3.6471,3.6774,Lumpy
ALHP-0067,RETEN MOTRIZ EMBRAGUE G V,62,14,0.2258,4.4286,5.7884,Lumpy
ALHP-0201,TROMPO RETRO POLO-GOLF-JETTA,62,34,0.5484,1.8235,1.1228,Lumpy
ALHP-0220,BOMBA DE AGUA POLO 16,62,36,0.5806,1.7222,2.0965,Lumpy
ALHP-0231,KIT BANDAS DISTRIBUCION POLO 1 6,62,14,0.2258,4.4286,5.2457,Lumpy
ALHP-0260,CAJA REGULADORA AGUA POLO 1 6 CA,62,34,0.5484,1.8235,1.0701,Lumpy
ALHP-0373,CARTER ACEITE GOLF JETTA PC,62,26,0.4194,2.3846,4.8932,Lumpy
ALHP-0379,POLEA D H GOLF IV,62,29,0.4677,2.1379,4.0578,Lumpy
